company_id,company_name,counter_party,created_at,currency,invoice_date,invoice_due_date,invoice_id,invoice_number,totalAmount
ed811a71-439e-4c49-bfb8-8fb407c39428,DataLake Ventures,Wholesale Dynamics GmbH,2025-01-01 12:00:00,EUR,2025-01-01,2025-02-15,895a6833-d83d-4a5a-a2c3-de35b341d00a,INV-2025-0023,648.15
2219af27-6da7-41a3-ac79-abce340fe56d,CloudStream Insights,Global Services Ltd,2025-01-01 08:00:00,EUR,2025-01-01,2025-02-15,4140125e-1f9b-41fb-8af2-df7996ea1e48,INV-2025-0239,2141.18
da36911c-7145-4c19-8e82-35c39f3a2e9c,AlgoRhythm Solutions,Cloud Systems,2025-01-01 10:00:00,EUR,2025-01-01,2025-03-02,abed77a5-4581-42f9-adb1-9ca99837e78f,INV-2025-0427,3474.1
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Enterprise Solutions AG,2025-01-01 02:00:00,GBP,2025-01-01,2025-03-02,e0e417e9-c2f2-459c-a296-2bc9ca406638,INV-2025-0498,3877.07
d66bfb15-e693-4219-9cb0-c5ecbb61a994,ETL Enterprises,Nordic Supply Chain,2025-01-01 05:00:00,EUR,2025-01-01,2025-01-31,095795ca-2eca-499b-805d-82d79bca6cdc,INV-2025-0691,1452.09
da36911c-7145-4c19-8e82-35c39f3a2e9c,AlgoRhythm Solutions,Wholesale Dynamics GmbH,2025-01-01 12:00:00,USD,2025-01-01,2025-03-02,a57d29ee-2055-4957-b20a-7123717c12af,INV-2025-0761,4426.37
d66bfb15-e693-4219-9cb0-c5ecbb61a994,ETL Enterprises,European E-Commerce AG,2025-01-01 00:00:00,EUR,2025-01-01,2025-01-15,83f92bfd-dc1d-46c3-b32a-5202e226a9c3,INV-2025-0975,3484.68
11978bfd-02c2-42b7-989e-7b1306238c5c,Quantum Query Labs,Global Trading Partners,2025-01-02 01:00:00,GBP,2025-01-02,2025-03-03,1edcdbdd-fbca-441b-960e-7e38a804a08c,INV-2025-0931,4108.09
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Metro Commerce Ltd,2025-01-03 04:00:00,EUR,2025-01-03,2025-02-17,2aea3d0c-7142-41be-a6f9-c7f3810a6c79,INV-2025-0647,1185.48
08804b48-7b03-4a08-8eff-72e3a2d1527c,Tensor Trading Ltd,Nordic Supply Chain,2025-01-04 01:00:00,GBP,2025-01-04,2025-02-03,4b032be2-f3ae-498f-abf9-84ec76fdb218,INV-2025-0191,2874.97
ed811a71-439e-4c49-bfb8-8fb407c39428,DataLake Ventures,Wholesale Dynamics GmbH,2025-01-05 12:00:00,EUR,2025-01-05,2025-01-19,8ec0cf06-3bf4-4922-8aa0-22b5a2d75e0f,INV-2025-0281,4424.03
d66bfb15-e693-4219-9cb0-c5ecbb61a994,ETL Enterprises,BigRetail Inc,2025-01-05 03:00:00,GBP,2025-01-05,2025-03-06,d3cce89f-a733-411f-9b51-e98df176d232,INV-2025-0539,3272.12
d66bfb15-e693-4219-9cb0-c5ecbb61a994,ETL Enterprises,Future Tech,2025-01-05 00:00:00,EUR,2025-01-05,2025-01-19,fed0dc73-269f-4e24-b6a6-1b4963e14f8a,INV-2025-0624,2283.77
640cf7f1-51c7-4c74-bff4-074303a1b191,Vector Velocity Inc,Digital Ventures,2025-01-05 05:00:00,EUR,2025-01-05,2025-01-19,2a164a32-b965-47f8-aca5-9053a42b99ce,INV-2025-0709,1959.2
da36911c-7145-4c19-8e82-35c39f3a2e9c,AlgoRhythm Solutions,Wholesale Dynamics GmbH,2025-01-05 01:00:00,EUR,2025-01-05,2025-01-19,e38ad2fb-703d-49d9-8950-f75b3307c683,INV-2025-0802,1429.42
ed811a71-439e-4c49-bfb8-8fb407c39428,DataLake Ventures,Innovation Partners,2025-01-06 12:00:00,USD,2025-01-06,2025-02-05,841a3936-5f6a-4d45-b6f7-a444a37199af,INV-2025-0654,4052.05
ed811a71-439e-4c49-bfb8-8fb407c39428,DataLake Ventures,Digital Ventures,2025-01-06 08:00:00,USD,2025-01-06,2025-01-20,966bd179-e411-4298-bd80-0c5d160ac84f,INV-2025-0917,158.61
2219af27-6da7-41a3-ac79-abce340fe56d,CloudStream Insights,Enterprise Solutions AG,2025-01-07 03:00:00,EUR,2025-01-07,2025-01-21,67b70d0c-3e51-42bb-96d5-a667c37d33d9,INV-2025-0609,812.1
86ebdf1a-a247-4893-866c-f6eb3e86ecee,DataWizards GmbH,FastTrack Logistics,2025-01-07 03:00:00,EUR,2025-01-07,2025-02-21,329d0f6f-772e-47c4-9d8e-df76c568a992,INV-2025-0614,4357.36
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Smart Industries,2025-01-08 02:00:00,USD,2025-01-08,2025-02-22,2a3e394f-895b-409b-94c2-874dd13389d3,INV-2025-0311,2882.13
14d14894-f81d-4dc6-afbe-8e41399d4c98,Neural Networks & Co,Nordic Supply Chain,2025-01-08 08:00:00,EUR,2025-01-08,2025-02-22,9200dbad-5d06-41a8-884d-085b101209dd,INV-2025-0443,4620.64
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Global Trading Partners,2025-01-08 05:00:00,EUR,2025-01-08,2025-03-09,fb3d49c3-80d5-4e99-beaa-7478f1873505,INV-2025-0744,2159.19
c5ccae70-d802-4502-8b25-9be976292ccb,Pipeline Pioneers AG,TechMart Distribution,2025-01-08 06:00:00,USD,2025-01-08,2025-03-09,97ba0b6b-3a2c-41c8-8e87-e7c434d7d24d,INV-2025-0968,1308.61
c5ccae70-d802-4502-8b25-9be976292ccb,Pipeline Pioneers AG,Digital Ventures,2025-01-09 12:00:00,USD,2025-01-09,2025-02-23,a1faf548-00db-4e99-b773-25d012a799df,INV-2025-0241,1789.53
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Metro Commerce Ltd,2025-01-09 04:00:00,EUR,2025-01-09,2025-02-23,66b69fbd-acc1-4b01-b4b7-a33a0e38061f,INV-2025-0349,2961.76
da36911c-7145-4c19-8e82-35c39f3a2e9c,AlgoRhythm Solutions,BigRetail Inc,2025-01-09 08:00:00,EUR,2025-01-09,2025-01-23,ff5ab1cd-9f0d-4d4d-9df2-59e3725a2d43,INV-2025-0356,2115.56
08804b48-7b03-4a08-8eff-72e3a2d1527c,Tensor Trading Ltd,Nordic Supply Chain,2025-01-09 01:00:00,EUR,2025-01-09,2025-02-08,6db1fb0c-fb45-4194-aba5-4db62e1224e7,INV-2025-0365,3786.05
cc007a93-8d8e-444c-bb8c-ae3db9871347,ByteForge Analytics,Global Services Ltd,2025-01-09 11:00:00,EUR,2025-01-09,2025-03-10,7ea73626-329e-47f7-ab00-960ee66d1aba,INV-2025-0949,135.4
